id,constituen,seats,c_id,Party,Person
54,Carlow-Kilkenny,5,1,SF,"Funchion, Kathleen"
144,Carlow-Kilkenny,5,2,FF,"McGuinness, John"
51,Carlow-Kilkenny,5,3,FF,"Murnane O'Connor, Jennifer"
53,Carlow-Kilkenny,5,4,FG,"Phelan, John Paul"
52,Carlow-Kilkenny,5,5,GP,"Noonan, Malcolm"
91,Cavan-Monaghan,5,1,SF,"Carthy, Matt"
88,Cavan-Monaghan,5,2,FG,"Humphreys, Heather"
89,Cavan-Monaghan,5,3,SF,"Tully, Pauline"
90,Cavan-Monaghan,5,4,FF,"Smith, Brendan"
87,Cavan-Monaghan,5,5,FF,"Smyth, Niamh"
46,Clare,4,1,SF,"Wynne, Violet-Anne"
45,Clare,4,2,FF,"Crowe, Cathal"
127,Clare,4,3,IO,"McNamara, Michael"
44,Clare,4,4,FG,"Carey, Joe"
98,Cork East,4,1,SF,"Buckley, Pat"
100,Cork East,4,2,FF,"O'Connor, James"
101,Cork East,4,3,LAB,"Sherlock, Seán"
99,Cork East,4,4,FG,"Stanton, David"
66,Cork North-Central,4,1,SF,"Gould, Thomas"
64,Cork North-Central,4,2,FF,"O'Sullivan, Padraig"
65,Cork North-Central,4,3,FG,"Burke, Colm"
63,Cork North-Central,4,4,PBP,"Barry, Mick"
42,Cork North-West,3,1,FF,"Moynihan, Aindrias"
41,Cork North-West,3,2,FF,"Moynihan, Michael"
43,Cork North-West,3,3,FG,"Creed, Michael"
143,Cork South-Central,4,1,SF,"Ó Laoghaire, Donnchadh"
50,Cork South-Central,4,2,FF,"Martin, Micheál"
142,Cork South-Central,4,3,FG,"Coveney, Simon"
140,Cork South-Central,4,4,FF,"McGrath, Michael"
69,Cork South-West,3,1,IO,"Collins, Michael"
68,Cork South-West,3,2,FF,"O'Sullivan, Christopher"
67,Cork South-West,3,3,SD,"Cairns, Holly"
139,Donegal,5,1,SF,"Doherty, Pearse"
136,Donegal,5,2,SF,"MacLochlainn, Pádraig"
137,Donegal,5,3,FF,"McConalogue, Charlie"
138,Donegal,5,4,FG,"McHugh, Joe"
130,Donegal,5,5,IO,"Pringle, Thomas"
141,Dublin Bay North,5,1,SF,"Mitchell, Denise"
145,Dublin Bay North,5,2,FG,"Bruton, Richard"
133,Dublin Bay North,5,3,LAB,"Ó Ríordáin, Aodhán"
146,Dublin Bay North,5,4,FF,"Haughey, Sean"
147,Dublin Bay North,5,5,SD,"O'Callaghan, Cian"
110,Dublin Bay South,4,1,GP,"Ryan, Eamon"
22,Dublin Bay South,4,2,SF,"Andrews, Chris"
111,Dublin Bay South,4,3,FG,"Murphy, Eoghan"
112,Dublin Bay South,4,4,FF,"O'Callaghan, Jim"
6,Dublin Central,4,1,SF,"McDonald, Mary Lou"
21,Dublin Central,4,2,FG,"Donohoe, Paschal"
10,Dublin Central,4,3,GP,"Hourigan, Neasa"
28,Dublin Central,4,4,SD,"Gannon, Gary"
158,Dublin Fingal,5,1,SF,"O'Reilly, Louise"
60,Dublin Fingal,5,2,FF,"O'Brien, Darragh"
62,Dublin Fingal,5,3,GP,"O'Brien, Joe"
156,Dublin Fingal,5,4,FG,"Farrell, Alan"
157,Dublin Fingal,5,5,LAB,"Smith, Duncan"
123,Dublin Mid-West,4,1,SF,"Ó Broin, Eoin"
124,Dublin Mid-West,4,2,SF,"Ward, Mark"
121,Dublin Mid-West,4,3,FG,"Higgins, Emer"
125,Dublin Mid-West,4,4,PBP,"Kenny, Gino"
56,Dublin North-West,3,1,SF,"Ellis, Dessie"
49,Dublin North-West,3,2,SD,"Shortall, Róisín"
48,Dublin North-West,3,3,FF,"McAuliffe, Paul"
113,Dublin Rathdown,3,1,GP,"Martin, Catherine"
114,Dublin Rathdown,3,2,FG,"Richmond, Neale"
115,Dublin Rathdown,3,3,FG,"Madigan, Josepha"
126,Dublin South-Central,4,1,SF,"Ó Snodaigh, Aengus"
47,Dublin South-Central,4,2,PBP,"Smith, Bríd"
129,Dublin South-Central,4,3,GP,"Costello, Patrick"
128,Dublin South-Central,4,4,I4C,"Collins, Joan"
120,Dublin South-West,5,1,SF,"Crowe, Seán"
119,Dublin South-West,5,2,FG,"Brophy, Colm"
116,Dublin South-West,5,3,FF,"Lahart, John"
117,Dublin South-West,5,4,GP,"Duffy, Francis Noel"
118,Dublin South-West,5,5,PBP,"Murphy, Paul"
77,Dublin West,4,1,SF,"Donnelly, Paul"
55,Dublin West,4,2,FG,"Varadkar, Leo"
78,Dublin West,4,3,FF,"Chambers, Jack"
61,Dublin West,4,4,GP,"O'Gorman, Roderic"
135,DÃºn Laoghaire,4,1,PBP,"Boyd Barrett, Richard"
132,DÃºn Laoghaire,4,2,GP,"Smyth, Ossian"
134,DÃºn Laoghaire,4,3,FG,"Carroll MacNeill, Jennifer"
131,DÃºn Laoghaire,4,4,FF,"Devlin, Cormac"
